iter	Passed	Remaining
0	1	183
1	3	150
2	4	137
3	5	127
4	6	129
5	7	124
6	9	123
7	10	119
8	11	118
9	13	117
10	14	115
11	15	113
12	17	114
13	18	116
14	20	117
15	22	117
16	24	117
17	25	117
18	27	116
19	29	116
20	30	114
21	31	113
22	33	112
23	35	111
24	36	110
25	38	109
26	40	108
27	41	107
28	43	105
29	44	104
30	46	103
31	48	102
32	49	100
33	50	98
34	52	97
35	53	95
36	55	93
37	56	92
38	57	90
39	59	89
40	61	87
41	61	84
42	62	83
43	64	81
44	65	80
45	66	78
46	68	77
47	69	75
48	71	74
49	72	72
50	74	71
51	75	69
52	76	68
53	78	66
54	79	64
55	80	63
56	81	61
57	83	60
58	84	58
59	85	57
60	87	55
61	88	54
62	89	52
63	90	51
64	91	49
65	93	47
66	94	46
67	95	44
68	96	43
69	97	41
70	98	40
71	99	38
72	100	37
73	101	35
74	103	34
75	104	32
76	105	31
77	106	30
78	107	28
79	108	27
80	109	25
81	110	24
82	111	22
83	112	21
84	113	20
85	114	18
86	115	17
87	116	15
88	117	14
89	118	13
90	119	11
91	120	10
92	121	9
93	122	7
94	123	6
95	123	5
96	124	3
97	125	2
98	126	1
99	127	0
